year,city,country,avg_temp
1855,Los Angeles,Chile,10.20
1856,Los Angeles,Chile,12.01
1857,Los Angeles,Chile,12.06
1858,Los Angeles,Chile,12.13
1859,Los Angeles,Chile,12.39
1860,Los Angeles,Chile,12.07
1861,Los Angeles,Chile,11.89
1862,Los Angeles,Chile,11.65
1863,Los Angeles,Chile,11.49
1864,Los Angeles,Chile,12.00
1865,Los Angeles,Chile,12.43
1866,Los Angeles,Chile,12.31
1867,Los Angeles,Chile,12.17
1868,Los Angeles,Chile,12.15
1869,Los Angeles,Chile,12.01
1870,Los Angeles,Chile,11.87
1871,Los Angeles,Chile,11.68
1872,Los Angeles,Chile,11.69
1873,Los Angeles,Chile,12.27
1874,Los Angeles,Chile,12.06
1875,Los Angeles,Chile,11.92
1876,Los Angeles,Chile,12.39
1877,Los Angeles,Chile,12.91
1878,Los Angeles,Chile,12.50
1879,Los Angeles,Chile,12.71
1880,Los Angeles,Chile,12.56
1881,Los Angeles,Chile,12.12
1882,Los Angeles,Chile,12.35
1883,Los Angeles,Chile,11.99
1884,Los Angeles,Chile,11.93
1885,Los Angeles,Chile,11.62
1886,Los Angeles,Chile,12.05
1887,Los Angeles,Chile,12.02
1888,Los Angeles,Chile,12.34
1889,Los Angeles,Chile,11.54
1890,Los Angeles,Chile,12.12
1891,Los Angeles,Chile,12.40
1892,Los Angeles,Chile,12.00
1893,Los Angeles,Chile,12.09
1894,Los Angeles,Chile,12.31
1895,Los Angeles,Chile,12.35
1896,Los Angeles,Chile,12.97
1897,Los Angeles,Chile,12.44
1898,Los Angeles,Chile,11.76
1899,Los Angeles,Chile,12.91
1900,Los Angeles,Chile,12.68
1901,Los Angeles,Chile,12.61
1902,Los Angeles,Chile,12.37
1903,Los Angeles,Chile,12.13
1904,Los Angeles,Chile,12.94
1905,Los Angeles,Chile,12.66
1906,Los Angeles,Chile,12.53
1907,Los Angeles,Chile,12.02
1908,Los Angeles,Chile,12.55
1909,Los Angeles,Chile,12.20
1910,Los Angeles,Chile,11.78
1911,Los Angeles,Chile,12.33
1912,Los Angeles,Chile,12.52
1913,Los Angeles,Chile,12.87
1914,Los Angeles,Chile,12.40
1915,Los Angeles,Chile,12.31
1916,Los Angeles,Chile,11.91
1917,Los Angeles,Chile,12.67
1918,Los Angeles,Chile,12.19
1919,Los Angeles,Chile,12.76
1920,Los Angeles,Chile,12.47
1921,Los Angeles,Chile,12.10
1922,Los Angeles,Chile,12.41
1923,Los Angeles,Chile,11.99
1924,Los Angeles,Chile,12.46
1925,Los Angeles,Chile,12.31
1926,Los Angeles,Chile,12.77
1927,Los Angeles,Chile,12.53
1928,Los Angeles,Chile,12.31
1929,Los Angeles,Chile,12.38
1930,Los Angeles,Chile,13.29
1931,Los Angeles,Chile,12.71
1932,Los Angeles,Chile,12.83
1933,Los Angeles,Chile,12.34
1934,Los Angeles,Chile,12.44
1935,Los Angeles,Chile,12.89
1936,Los Angeles,Chile,12.53
1937,Los Angeles,Chile,12.53
1938,Los Angeles,Chile,12.09
1939,Los Angeles,Chile,12.93
1940,Los Angeles,Chile,13.08
1941,Los Angeles,Chile,12.65
1942,Los Angeles,Chile,12.73
1943,Los Angeles,Chile,13.14
1944,Los Angeles,Chile,13.15
1945,Los Angeles,Chile,13.24
1946,Los Angeles,Chile,12.70
1947,Los Angeles,Chile,12.75
1948,Los Angeles,Chile,12.58
1949,Los Angeles,Chile,12.75
1950,Los Angeles,Chile,12.62
1951,Los Angeles,Chile,13.10
1952,Los Angeles,Chile,13.21
1953,Los Angeles,Chile,12.81
1954,Los Angeles,Chile,12.61
1955,Los Angeles,Chile,12.32
1956,Los Angeles,Chile,12.49
1957,Los Angeles,Chile,12.85
1958,Los Angeles,Chile,12.90
1959,Los Angeles,Chile,12.59
1960,Los Angeles,Chile,13.15
1961,Los Angeles,Chile,12.73
1962,Los Angeles,Chile,13.10
1963,Los Angeles,Chile,12.81
1964,Los Angeles,Chile,12.72
