year,city,country,avg_temp
1841,Adelaide,Australia,15.54
1842,Adelaide,Australia,15.61
1843,Adelaide,Australia,15.89
1844,Adelaide,Australia,15.26
1845,Adelaide,Australia,15.62
1846,Adelaide,Australia,16.12
1847,Adelaide,Australia,15.62
1848,Adelaide,Australia,15.31
1849,Adelaide,Australia,15.19
1850,Adelaide,Australia,15.68
1851,Adelaide,Australia,15.65
1852,Adelaide,Australia,15.45
1853,Adelaide,Australia,15.33
1854,Adelaide,Australia,15.61
1855,Adelaide,Australia,13.85
1856,Adelaide,Australia,15.83
1857,Adelaide,Australia,15.64
1858,Adelaide,Australia,16.04
1859,Adelaide,Australia,15.66
1860,Adelaide,Australia,16.27
1861,Adelaide,Australia,15.91
1862,Adelaide,Australia,16.43
1863,Adelaide,Australia,15.92
1864,Adelaide,Australia,15.60
1865,Adelaide,Australia,15.55
1866,Adelaide,Australia,16.05
1867,Adelaide,Australia,16.13
1868,Adelaide,Australia,16.04
1869,Adelaide,Australia,15.96
1870,Adelaide,Australia,16.09
1871,Adelaide,Australia,16.47
1872,Adelaide,Australia,15.91
1873,Adelaide,Australia,15.71
1874,Adelaide,Australia,15.41
1875,Adelaide,Australia,15.48
1876,Adelaide,Australia,15.49
1877,Adelaide,Australia,15.87
1878,Adelaide,Australia,16.41
1879,Adelaide,Australia,15.81
1880,Adelaide,Australia,16.22
1881,Adelaide,Australia,15.67
1882,Adelaide,Australia,16.11
1883,Adelaide,Australia,15.85
1884,Adelaide,Australia,15.76
1885,Adelaide,Australia,15.87
1886,Adelaide,Australia,15.91
1887,Adelaide,Australia,15.83
1888,Adelaide,Australia,16.41
1889,Adelaide,Australia,16.15
1890,Adelaide,Australia,16.08
1891,Adelaide,Australia,15.51
1892,Adelaide,Australia,15.56
1893,Adelaide,Australia,15.71
1894,Adelaide,Australia,15.76
1895,Adelaide,Australia,16.16
1896,Adelaide,Australia,16.02
1897,Adelaide,Australia,16.08
1898,Adelaide,Australia,16.34
1899,Adelaide,Australia,15.89
1900,Adelaide,Australia,15.66
1901,Adelaide,Australia,16.20
1902,Adelaide,Australia,16.15
1903,Adelaide,Australia,15.59
1904,Adelaide,Australia,15.75
1905,Adelaide,Australia,15.13
1906,Adelaide,Australia,16.38
1907,Adelaide,Australia,15.55
1908,Adelaide,Australia,16.04
1909,Adelaide,Australia,15.04
1910,Adelaide,Australia,16.06
1911,Adelaide,Australia,15.99
1912,Adelaide,Australia,16.21
1913,Adelaide,Australia,15.95
1914,Adelaide,Australia,17.09
1915,Adelaide,Australia,16.01
1916,Adelaide,Australia,15.42
1917,Adelaide,Australia,15.41
1918,Adelaide,Australia,16.15
1919,Adelaide,Australia,16.53
1920,Adelaide,Australia,15.81
1921,Adelaide,Australia,16.77
1922,Adelaide,Australia,15.85
1923,Adelaide,Australia,16.09
1924,Adelaide,Australia,15.05
1925,Adelaide,Australia,15.73
1926,Adelaide,Australia,15.93
1927,Adelaide,Australia,15.77
1928,Adelaide,Australia,16.05
1929,Adelaide,Australia,15.34
1930,Adelaide,Australia,16.61
1931,Adelaide,Australia,15.43
1932,Adelaide,Australia,15.63
1933,Adelaide,Australia,15.56
1934,Adelaide,Australia,16.44
1935,Adelaide,Australia,15.81
1936,Adelaide,Australia,15.86
1937,Adelaide,Australia,16.09
