year,avg_temp,city
1743,5.27,Edinburgh
1744,8.29,Edinburgh
1745,2.75,Edinburgh
1746,,Edinburgh
1747,,Edinburgh
1748,,Edinburgh
1749,,Edinburgh
1750,8.41,Edinburgh
1751,8.16,Edinburgh
1752,4.78,Edinburgh
1753,7.51,Edinburgh
1754,7.42,Edinburgh
1755,7.14,Edinburgh
1756,7.64,Edinburgh
1757,7.65,Edinburgh
1758,6.87,Edinburgh
1759,7.85,Edinburgh
1760,7.13,Edinburgh
1761,7.93,Edinburgh
1762,7.13,Edinburgh
1763,6.92,Edinburgh
1764,7.13,Edinburgh
1765,6.87,Edinburgh
1766,7.14,Edinburgh
1767,7.14,Edinburgh
1768,7.20,Edinburgh
1769,7.24,Edinburgh
1770,6.96,Edinburgh
1771,6.86,Edinburgh
1772,6.95,Edinburgh
1773,7.25,Edinburgh
1774,6.86,Edinburgh
1775,7.95,Edinburgh
1776,7.15,Edinburgh
1777,7.34,Edinburgh
1778,7.82,Edinburgh
1779,8.90,Edinburgh
1780,7.75,Edinburgh
1781,8.53,Edinburgh
1782,6.28,Edinburgh
1783,7.66,Edinburgh
1784,6.36,Edinburgh
1785,6.98,Edinburgh
1786,6.63,Edinburgh
1787,7.79,Edinburgh
1788,7.63,Edinburgh
1789,7.78,Edinburgh
1790,7.97,Edinburgh
1791,7.83,Edinburgh
1792,7.72,Edinburgh
1793,7.65,Edinburgh
1794,8.18,Edinburgh
1795,7.17,Edinburgh
1796,7.64,Edinburgh
1797,7.76,Edinburgh
1798,8.14,Edinburgh
1799,6.23,Edinburgh
1800,7.25,Edinburgh
1801,7.77,Edinburgh
1802,7.44,Edinburgh
1803,7.22,Edinburgh
1804,7.49,Edinburgh
1805,7.20,Edinburgh
1806,7.56,Edinburgh
1807,6.83,Edinburgh
1808,7.12,Edinburgh
1809,7.02,Edinburgh
1810,6.87,Edinburgh
1811,7.82,Edinburgh
1812,6.60,Edinburgh
1813,7.35,Edinburgh
1814,6.33,Edinburgh
1815,7.15,Edinburgh
1816,6.18,Edinburgh
1817,7.03,Edinburgh
1818,7.82,Edinburgh
1819,7.47,Edinburgh
1820,7.06,Edinburgh
1821,7.94,Edinburgh
1822,8.23,Edinburgh
1823,6.80,Edinburgh
1824,7.69,Edinburgh
1825,8.13,Edinburgh
1826,8.39,Edinburgh
1827,7.58,Edinburgh
1828,8.26,Edinburgh
1829,6.52,Edinburgh
1830,7.06,Edinburgh
1831,8.10,Edinburgh
1832,7.79,Edinburgh
1833,7.52,Edinburgh
1834,8.56,Edinburgh
1835,7.52,Edinburgh
1836,6.87,Edinburgh
1837,6.92,Edinburgh
1838,6.18,Edinburgh
1839,6.99,Edinburgh
1840,7.11,Edinburgh
1841,7.17,Edinburgh
1842,7.88,Edinburgh
1843,7.56,Edinburgh
1844,7.13,Edinburgh
1845,6.94,Edinburgh
1846,8.73,Edinburgh
1847,7.57,Edinburgh
1848,7.50,Edinburgh
1849,7.39,Edinburgh
1850,7.38,Edinburgh
1851,7.44,Edinburgh
1852,8.16,Edinburgh
1853,7.01,Edinburgh
1854,7.78,Edinburgh
1855,6.57,Edinburgh
1856,7.26,Edinburgh
1857,8.52,Edinburgh
1858,7.53,Edinburgh
1859,7.57,Edinburgh
1860,6.22,Edinburgh
1861,7.59,Edinburgh
1862,7.31,Edinburgh
1863,7.85,Edinburgh
1864,6.98,Edinburgh
1865,7.73,Edinburgh
1866,7.53,Edinburgh
1867,7.26,Edinburgh
1868,8.39,Edinburgh
1869,7.61,Edinburgh
1870,7.32,Edinburgh
1871,7.35,Edinburgh
1872,7.81,Edinburgh
1873,7.43,Edinburgh
1874,7.63,Edinburgh
1875,7.73,Edinburgh
1876,7.64,Edinburgh
1877,7.21,Edinburgh
1878,7.68,Edinburgh
1879,5.98,Edinburgh
1880,7.54,Edinburgh
1881,6.65,Edinburgh
1882,7.70,Edinburgh
1883,7.37,Edinburgh
1884,7.95,Edinburgh
1885,6.87,Edinburgh
1886,6.83,Edinburgh
1887,7.08,Edinburgh
1888,6.75,Edinburgh
1889,7.57,Edinburgh
1890,7.59,Edinburgh
1891,7.15,Edinburgh
1892,6.46,Edinburgh
1893,8.21,Edinburgh
1894,7.61,Edinburgh
1895,6.98,Edinburgh
1896,7.84,Edinburgh
1897,7.60,Edinburgh
1898,8.33,Edinburgh
1899,7.88,Edinburgh
1900,7.60,Edinburgh
1901,7.64,Edinburgh
1902,7.09,Edinburgh
1903,7.37,Edinburgh
1904,7.38,Edinburgh
1905,7.65,Edinburgh
1906,7.67,Edinburgh
1907,7.23,Edinburgh
1908,7.79,Edinburgh
1909,6.99,Edinburgh
1910,7.49,Edinburgh
1911,8.20,Edinburgh
1912,7.52,Edinburgh
1913,7.95,Edinburgh
1914,8.23,Edinburgh
1915,7.14,Edinburgh
1916,7.55,Edinburgh
1917,7.05,Edinburgh
1918,7.74,Edinburgh
1919,6.91,Edinburgh
1920,7.91,Edinburgh
1921,8.59,Edinburgh
1922,7.02,Edinburgh
1923,7.26,Edinburgh
1924,7.59,Edinburgh
1925,7.49,Edinburgh
1926,8.00,Edinburgh
1927,7.40,Edinburgh
1928,7.59,Edinburgh
1929,7.37,Edinburgh
1930,7.64,Edinburgh
1931,7.33,Edinburgh
1932,7.90,Edinburgh
1933,8.39,Edinburgh
1934,8.43,Edinburgh
1935,7.87,Edinburgh
1936,7.76,Edinburgh
1937,7.70,Edinburgh
1938,8.49,Edinburgh
1939,8.13,Edinburgh
1940,7.42,Edinburgh
1941,7.34,Edinburgh
1942,7.38,Edinburgh
1943,8.30,Edinburgh
1944,7.94,Edinburgh
1945,8.67,Edinburgh
1946,7.82,Edinburgh
1947,7.70,Edinburgh
1948,8.17,Edinburgh
1949,8.81,Edinburgh
1950,7.67,Edinburgh
1951,7.47,Edinburgh
1952,7.38,Edinburgh
1953,8.54,Edinburgh
1954,7.57,Edinburgh
1955,7.68,Edinburgh
1956,7.43,Edinburgh
1957,8.28,Edinburgh
1958,7.56,Edinburgh
1959,8.67,Edinburgh
1960,8.02,Edinburgh
1961,8.07,Edinburgh
1962,7.10,Edinburgh
1963,6.92,Edinburgh
1964,7.83,Edinburgh
1965,7.13,Edinburgh
1966,7.51,Edinburgh
1967,7.99,Edinburgh
1968,7.61,Edinburgh
1969,7.48,Edinburgh
1970,7.74,Edinburgh
1971,8.31,Edinburgh
1972,7.64,Edinburgh
1973,7.89,Edinburgh
1974,7.81,Edinburgh
1975,8.22,Edinburgh
1976,8.15,Edinburgh
1977,7.68,Edinburgh
1978,7.62,Edinburgh
1979,7.06,Edinburgh
1980,7.74,Edinburgh
1981,7.48,Edinburgh
1982,7.99,Edinburgh
1983,8.14,Edinburgh
1984,8.09,Edinburgh
1985,7.25,Edinburgh
1986,7.04,Edinburgh
1987,7.33,Edinburgh
1988,8.11,Edinburgh
1989,8.57,Edinburgh
1990,8.68,Edinburgh
1991,7.99,Edinburgh
1992,8.05,Edinburgh
1993,7.59,Edinburgh
1994,8.07,Edinburgh
1995,8.49,Edinburgh
1996,7.71,Edinburgh
1997,8.87,Edinburgh
1998,8.56,Edinburgh
1999,8.74,Edinburgh
2000,8.48,Edinburgh
2001,8.15,Edinburgh
2002,8.76,Edinburgh
2003,8.95,Edinburgh
2004,8.92,Edinburgh
2005,8.85,Edinburgh
2006,9.10,Edinburgh
2007,8.94,Edinburgh
2008,8.42,Edinburgh
2009,8.64,Edinburgh
2010,7.43,Edinburgh
2011,8.95,Edinburgh
2012,8.08,Edinburgh
2013,8.39,Edinburgh
1743,2.77,London
1744,10.19,London
1745,-1.12,London
1746,,London
1747,,London
1748,,London
1749,,London
1750,8.34,London
1751,8.84,London
1752,1.64,London
1753,7.87,London
1754,8.15,London
1755,5.12,London
1756,8.59,London
1757,7.29,London
1758,6.47,London
1759,7.39,London
1760,5.97,London
1761,8.36,London
1762,7.85,London
1763,5.54,London
1764,8.03,London
1765,7.37,London
1766,8.38,London
1767,6.97,London
1768,6.89,London
1769,7.54,London
1770,7.44,London
1771,8.41,London
1772,8.05,London
1773,8.34,London
1774,7.86,London
1775,8.73,London
1776,7.84,London
1777,7.32,London
1778,5.54,London
1779,8.25,London
1780,10.54,London
1781,8.07,London
1782,7.51,London
1783,7.22,London
1784,7.00,London
1785,6.94,London
1786,7.46,London
1787,7.47,London
1788,8.12,London
1789,7.82,London
1790,7.75,London
1791,7.84,London
1792,7.26,London
1793,8.13,London
1794,8.16,London
1795,7.71,London
1796,7.56,London
1797,7.33,London
1798,8.18,London
1799,7.76,London
1800,7.92,London
1801,8.31,London
1802,8.56,London
1803,8.37,London
1804,8.15,London
1805,8.62,London
1806,7.82,London
1807,7.61,London
1808,7.79,London
1809,7.03,London
1810,7.37,London
1811,7.49,London
1812,6.13,London
1813,7.41,London
1814,7.24,London
1815,6.65,London
1816,6.16,London
1817,6.25,London
1818,6.90,London
1819,7.21,London
1820,7.22,London
1821,6.91,London
1822,7.88,London
1823,7.11,London
1824,7.55,London
1825,8.59,London
1826,8.37,London
1827,8.21,London
1828,9.08,London
1829,7.63,London
1830,8.47,London
1831,7.00,London
1832,8.07,London
1833,8.06,London
1834,8.36,London
1835,7.43,London
1836,6.42,London
1837,7.16,London
1838,6.71,London
1839,7.74,London
1840,8.05,London
1841,7.46,London
1842,7.97,London
1843,7.00,London
1844,8.13,London
1845,8.17,London
1846,8.58,London
1847,7.28,London
1848,7.86,London
1849,7.43,London
1850,7.65,London
1851,7.73,London
1852,7.46,London
1853,8.05,London
1854,8.31,London
1855,7.39,London
1856,6.35,London
1857,6.74,London
1858,8.16,London
1859,7.80,London
1860,7.72,London
1861,7.69,London
1862,7.48,London
1863,7.51,London
1864,7.46,London
1865,7.89,London
1866,6.93,London
1867,7.17,London
1868,6.68,London
1869,6.81,London
1870,8.33,London
1871,7.56,London
1872,6.78,London
1873,6.92,London
1874,7.84,London
1875,5.69,London
1876,7.48,London
1877,8.48,London
1878,8.94,London
1879,7.68,London
1880,8.45,London
1881,8.45,London
1882,8.06,London
1883,6.50,London
1884,7.46,London
1885,6.04,London
1886,7.25,London
1887,7.59,London
1888,6.68,London
1889,7.97,London
1890,8.06,London
1891,8.30,London
1892,7.43,London
1893,7.01,London
1894,8.65,London
1895,7.08,London
1896,7.99,London
1897,7.95,London
1898,8.66,London
1899,8.04,London
1900,8.53,London
1901,7.67,London
1902,7.76,London
1903,7.74,London
1904,6.22,London
1905,7.34,London
1906,8.38,London
1907,6.92,London
1908,8.30,London
1909,7.92,London
1910,7.73,London
1911,8.62,London
1912,7.01,London
1913,8.59,London
1914,7.65,London
1915,7.85,London
1916,7.75,London
1917,5.96,London
1918,7.80,London
1919,8.66,London
1920,7.43,London
1921,9.75,London
1922,8.62,London
1923,7.74,London
1924,6.79,London
1925,7.70,London
1926,6.77,London
1927,8.27,London
1928,7.97,London
1929,7.60,London
1930,8.45,London
1931,9.59,London
1932,8.66,London
1933,8.93,London
1934,7.90,London
1935,7.72,London
1936,7.82,London
1937,8.15,London
1938,8.96,London
1939,8.58,London
1940,7.16,London
1941,9.00,London
1942,8.33,London
1943,7.51,London
1944,8.50,London
1945,7.91,London
1946,9.07,London
1947,8.21,London
1948,8.27,London
1949,9.52,London
1950,7.67,London
1951,8.15,London
1952,8.94,London
1953,9.39,London
1954,8.55,London
1955,9.06,London
1956,8.12,London
1957,8.41,London
1958,7.60,London
1959,8.66,London
1960,7.92,London
1961,8.41,London
1962,7.88,London
1963,7.46,London
1964,8.50,London
1965,7.90,London
1966,7.93,London
1967,7.84,London
1968,8.11,London
1969,8.11,London
1970,8.29,London
1971,8.52,London
1972,7.55,London
1973,9.30,London
1974,8.09,London
1975,8.80,London
1976,7.51,London
1977,8.17,London
1978,7.20,London
1979,7.75,London
1980,7.61,London
1981,8.12,London
1982,8.13,London
1983,8.81,London
1984,8.37,London
1985,8.37,London
1986,8.59,London
1987,9.35,London
1988,8.58,London
1989,7.84,London
1990,9.48,London
1991,9.72,London
1992,8.05,London
1993,8.11,London
1994,8.11,London
1995,8.52,London
1996,7.85,London
1997,8.09,London
1998,10.60,London
1999,9.53,London
2000,8.67,London
2001,9.63,London
2002,9.45,London
2003,8.12,London
2004,8.63,London
2005,9.05,London
2006,9.83,London
2007,9.14,London
2008,8.61,London
2009,8.38,London
2010,9.47,London
2011,9.32,London
2012,10.51,London
2013,10.11,London
1743,7.54,London
1744,10.34,London
1745,4.13,London
1746,,London
1747,,London
1748,,London
1749,,London
1750,10.25,London
1751,9.99,London
1752,6.54,London
1753,9.42,London
1754,9.20,London
1755,8.95,London
1756,9.42,London
1757,9.34,London
1758,8.85,London
1759,9.80,London
1760,9.26,London
1761,9.69,London
1762,8.99,London
1763,8.75,London
1764,9.14,London
1765,8.95,London
1766,9.07,London
1767,8.98,London
1768,9.12,London
1769,9.04,London
1770,9.03,London
1771,8.78,London
1772,9.36,London
1773,9.33,London
1774,9.10,London
1775,10.10,London
1776,9.21,London
1777,9.25,London
1778,9.80,London
1779,10.76,London
