X,Y,month,day,temp,wind,rain,area
7,5,mar,fri,8.2,6.7,0,
7,4,oct,tue,18,0.9,0,
7,4,oct,sat,14.6,1.3,0,
8,6,mar,fri,8.3,4,0.2,
8,6,mar,sun,11.4,1.8,0,
8,6,aug,sun,22.2,5.4,0,
8,6,aug,mon,24.1,3.1,0,
8,6,aug,mon,8,2.2,0,
8,6,sep,tue,13.1,5.4,0,
7,5,sep,sat,22.8,4,0,
7,5,sep,sat,17.8,7.2,0,
7,5,sep,sat,19.3,4,0,
6,5,aug,fri,17,6.7,0,
6,5,sep,mon,21.3,2.2,0,
6,5,sep,wed,26.4,4.5,0,
6,5,sep,fri,22.9,5.4,0,
5,5,mar,sat,15.1,5.4,0,
8,5,oct,mon,16.7,4.9,0,
6,4,mar,wed,15.9,4,0,
6,4,apr,sat,,4.5,0,
6,4,sep,tue,18.3,2.7,0,
5,4,sep,mon,19.1,2.7,0,
7,4,jun,sun,21,4.5,0,
7,4,aug,sat,19.5,5.8,0,
7,4,aug,sat,23.7,5.8,0,
7,4,aug,sun,16.3,5.4,0,
7,4,sep,fri,19,5.8,0,
7,4,sep,mon,19.4,1.3,0,
6,3,sep,sat,30.2,2.7,0,
6,3,sep,sun,22.8,3.6,0,
6,3,sep,fri,25.4,3.6,0,
6,3,sep,mon,11.2,7.6,0,
6,3,sep,fri,20.6,1.8,0,
6,3,sep,sun,17.7,3.6,0,
6,3,sep,mon,21.2,2.7,0,
6,3,sep,tue,18.2,4.5,0,
6,3,oct,tue,21.7,4.5,0,
7,4,oct,fri,11.3,5.4,0,
7,3,oct,sat,17.8,4,0,
4,4,mar,tue,14.1,2.7,0,
4,4,jul,tue,23.3,3.1,0,
4,4,aug,sat,18.4,6.7,0,
4,4,aug,tue,16.6,5.4,0,
4,4,sep,sat,19.6,2.7,0,
4,4,sep,wed,12.9,4.9,0,
5,6,sep,wed,25.9,4,0,
5,6,sep,mon,14.7,3.6,0,
6,6,jul,mon,23,3.1,0,
4,4,mar,mon,11.8,1.8,0,
4,4,mar,mon,11,5.8,0,
4,4,sep,thu,20.8,1.3,0,
4,3,aug,sun,21.5,2.2,0,
4,3,aug,wed,20.4,4.9,0,
4,3,aug,wed,20.4,4.9,0,
4,3,aug,thu,17.6,3.6,0,
4,3,sep,thu,27.7,2.2,0,
4,3,sep,tue,17.8,4.9,0,
4,3,oct,sun,13.8,2.7,0,
2,2,feb,mon,13.9,5.4,0,
2,2,feb,fri,12.3,0.9,0,
2,2,mar,sun,11.5,5.8,0,
2,2,mar,sun,5.5,6.3,0,
2,2,aug,thu,18.8,4.9,0,
2,2,aug,sun,20.8,2.7,0,
