conspiracy_belief_score,education,childhood,gender,hand,family_size,age,test_time
4.333333333333333,Less than high school,Suburban,Female,Right,1,14,125
2.466666666666667,Graduate degree,Suburban,Female,Right,2,26,141
3.6666666666666665,University degree,Rural (country side),Male,Right,3,25,58
3.933333333333333,High school,Suburban,Male,Right,2,37,105
1,University degree,Rural (country side),Male,Right,2,34,87
3.066666666666667,High school,Suburban,Male,Right,2,17,75
4.4,High school,Rural (country side),Male,Right,3,23,104
1,Less than high school,"Urban (town, city)",Male,Right,2,17,67
1.8,University degree,"Urban (town, city)",Male,Right,3,28,148
3.7333333333333334,High school,Suburban,Other,Right,2,20,75
3.8,High school,Rural (country side),Male,Left,3,40,116
3.8,University degree,Suburban,Male,Right,3,32,135
4.666666666666667,University degree,Suburban,Female,Right,3,41,66
4.733333333333333,High school,"Urban (town, city)",Female,Right,2,14,92
4.066666666666666,High school,"Urban (town, city)",Male,Right,2,16,49
2.8,Graduate degree,"Urban (town, city)",Male,Right,3,35,75
1.2666666666666666,High school,Suburban,Male,Right,3,18,95
3.2666666666666666,University degree,Rural (country side),Male,Right,5,44,98
1.3333333333333333,Less than high school,Suburban,Female,Right,6,17,108
3,High school,Suburban,Female,Right,3,18,370
3.1333333333333333,University degree,Suburban,Male,Right,3,45,94
4.8,University degree,Rural (country side),Female,Right,2,41,128
5,High school,Suburban,Male,Left,3,51,79
1.2666666666666666,University degree,"Urban (town, city)",Male,Right,2,26,55
2.066666666666667,University degree,Suburban,Other,Right,2,23,232
1.9333333333333333,High school,Rural (country side),Other,Right,1,26,77
2.4,High school,Suburban,Male,Right,3,18,82
3.933333333333333,Less than high school,Rural (country side),Male,Right,4,22,79
2.933333333333333,Less than high school,Suburban,Male,Right,6,14,111
3.8666666666666667,University degree,Rural (country side),Female,Right,3,34,124
3.6666666666666665,University degree,Suburban,Female,Right,2,23,83
2.8666666666666667,University degree,Suburban,Female,Right,4,24,126
2.533333333333333,High school,Suburban,Female,Right,6,22,80
5,Graduate degree,"Urban (town, city)",Female,Right,3,63,39
4.4,High school,"Urban (town, city)",Female,Right,5,19,65
2.4,Graduate degree,Suburban,Male,Right,1,19,169
3.066666666666667,University degree,Suburban,Male,Right,2,22,71
2.6666666666666665,High school,"Urban (town, city)",Female,Right,2,62,108
3.6,High school,"Urban (town, city)",Female,Right,1,19,103
2,University degree,Rural (country side),Female,Right,2,34,116
4.266666666666667,High school,"Urban (town, city)",Female,Right,2,20,185
1.8,Graduate degree,Rural (country side),Male,Right,2,35,134
1.4666666666666666,University degree,"Urban (town, city)",Male,Right,1,28,67
2.8666666666666667,High school,Suburban,Female,Right,2,16,284
3.2666666666666666,High school,Suburban,Female,Right,4,17,132
2.2666666666666666,University degree,"Urban (town, city)",Female,Right,4,41,81
2.2,High school,"Urban (town, city)",Female,Right,3,19,118
2.6666666666666665,University degree,"Urban (town, city)",Male,Right,2,19,120
3.6666666666666665,High school,Rural (country side),Male,Right,2,21,108
3.7333333333333334,Less than high school,Suburban,Male,Right,3,18,96
1.7333333333333334,University degree,Rural (country side),Female,Right,3,29,213
2.533333333333333,High school,"Urban (town, city)",Female,Right,1,51,112
1.8,University degree,"Urban (town, city)",Male,Right,3,28,53
1.9333333333333333,High school,"Urban (town, city)",Female,Right,2,19,758
3,University degree,"Urban (town, city)",Male,Right,1,25,119
3,High school,"Urban (town, city)",Female,Right,2,18,118
3.066666666666667,High school,"Urban (town, city)",Male,Right,2,26,338
2.3333333333333335,University degree,Suburban,Male,Right,2,39,155
1.3333333333333333,High school,"Urban (town, city)",Male,Right,0,19,149
4.333333333333333,High school,Rural (country side),Male,Right,2,21,171
4.933333333333334,High school,"Urban (town, city)",Male,Right,3,35,95
2.2666666666666666,University degree,Rural (country side),Female,Left,2,24,218
1.7333333333333334,Graduate degree,Rural (country side),Male,Right,4,28,379
3.6,High school,Suburban,Male,Right,2,28,95
1.7333333333333334,Graduate degree,Suburban,Male,Left,2,23,114
3.2666666666666666,High school,"Urban (town, city)",Female,Right,2,16,56
4.4,High school,Suburban,Female,Right,1,24,150
3.6,High school,Rural (country side),Male,Right,2,30,92
2.466666666666667,University degree,Suburban,Male,Right,1,24,137
1.2,High school,"Urban (town, city)",Male,Right,2,20,81
1.4,University degree,Suburban,Female,Right,5,53,94
3.533333333333333,Graduate degree,"Urban (town, city)",Female,Right,2,29,187
3.933333333333333,Less than high school,Suburban,Female,Right,6,13,193
4.666666666666667,University degree,"Urban (town, city)",Female,Left,2,55,130
3.066666666666667,Graduate degree,Rural (country side),Female,Right,12,55,111
2.466666666666667,Less than high school,"Urban (town, city)",Female,Right,4,16,221
3.8,University degree,Suburban,Male,Right,2,21,117
1.8,University degree,Suburban,Female,Right,3,21,88
2.933333333333333,High school,Suburban,Male,Right,1,16,135
2.533333333333333,High school,"Urban (town, city)",Female,Right,1,68,943
2.6666666666666665,University degree,Suburban,Male,Right,3,21,109
2.8666666666666667,University degree,Suburban,Female,Right,4,28,150
1.7333333333333334,Graduate degree,Suburban,Male,Right,4,42,127
2.2,University degree,"Urban (town, city)",Other,Right,2,25,97
2.2666666666666666,University degree,Rural (country side),Female,Right,3,47,97
2.533333333333333,Graduate degree,Suburban,Male,Left,4,51,97
1,High school,Suburban,Male,Right,3,18,58
2.466666666666667,High school,Suburban,Female,Right,3,19,224
1.4,University degree,"Urban (town, city)",Female,Right,1,73,128
1.2666666666666666,University degree,Suburban,Male,Right,4,23,111
3.1333333333333333,University degree,Rural (country side),Female,Right,2,27,98
3.3333333333333335,University degree,Rural (country side),Male,Right,2,42,49
2.4,High school,Suburban,Male,Right,3,17,99
3.466666666666667,High school,"Urban (town, city)",Male,Right,4,21,141
1.8,Graduate degree,"Urban (town, city)",Male,Right,3,37,87
1.6666666666666667,High school,Suburban,Female,Right,2,20,74
4.133333333333334,University degree,"Urban (town, city)",Female,Right,2,18,88
2.6666666666666665,University degree,Rural (country side),Female,Right,7,74,181
2.2,University degree,"Urban (town, city)",Male,Left,3,46,72
1.2,University degree,"Urban (town, city)",Male,Right,2,52,134
3.4,Less than high school,Suburban,Female,Right,6,15,82
2.6666666666666665,High school,"Urban (town, city)",Female,Right,2,18,233
3.3333333333333335,University degree,Suburban,Male,Right,3,40,70
3.6,University degree,"Urban (town, city)",Female,Right,4,29,89
2.8666666666666667,High school,"Urban (town, city)",Male,Right,3,17,134
3.533333333333333,High school,Suburban,Male,Right,4,18,100
4.133333333333334,High school,Suburban,Male,Right,3,22,85
1.8,Graduate degree,Suburban,Female,Right,2,35,118
