loan_amnt,term,int_rate,grade,home_ownership,annual_inc,purpose,loan_status
5000,36 months,10.65,B,RENT,24000,credit_card,Fully Paid
2500,60 months,15.27,C,RENT,30000,car,Charged Off
2400,36 months,15.96,C,RENT,12252,small_business,Fully Paid
10000,36 months,13.49,C,RENT,49200,other,Fully Paid
3000,60 months,12.69,B,RENT,80000,other,Current
5000,36 months,7.9,A,RENT,36000,wedding,Fully Paid
7000,60 months,15.96,C,RENT,47004,debt_consolidation,Fully Paid
3000,36 months,18.64,E,RENT,48000,car,Fully Paid
5600,60 months,21.28,F,OWN,40000,small_business,Charged Off
5375,60 months,12.69,B,RENT,15000,other,Charged Off
6500,60 months,14.65,C,OWN,72000,debt_consolidation,Fully Paid
12000,36 months,12.69,B,OWN,75000,debt_consolidation,Fully Paid
9000,36 months,13.49,C,RENT,30000,debt_consolidation,Charged Off
3000,36 months,9.91,B,RENT,15000,credit_card,Fully Paid
10000,36 months,10.65,B,RENT,1.00E+05,other,Charged Off
1000,36 months,16.29,D,RENT,28000,debt_consolidation,Fully Paid
10000,36 months,15.27,C,RENT,42000,home_improvement,Fully Paid
3600,36 months,6.03,A,MORTGAGE,110000,major_purchase,Fully Paid
6000,36 months,11.71,B,MORTGAGE,84000,medical,Fully Paid
9200,36 months,6.03,A,RENT,77385.19,debt_consolidation,Fully Paid
20250,60 months,15.27,C,RENT,43370,debt_consolidation,Fully Paid
21000,36 months,12.42,B,RENT,105000,debt_consolidation,Charged Off
10000,36 months,11.71,B,OWN,50000,credit_card,Fully Paid
10000,36 months,11.71,B,RENT,50000,debt_consolidation,Fully Paid
6000,36 months,11.71,B,RENT,76000,major_purchase,Charged Off
15000,36 months,9.91,B,MORTGAGE,92000,credit_card,Fully Paid
15000,36 months,14.27,C,RENT,60000,debt_consolidation,Charged Off
5000,60 months,16.77,D,RENT,50004,other,Charged Off
4000,36 months,11.71,B,MORTGAGE,106000,debt_consolidation,Fully Paid
8500,36 months,11.71,B,RENT,25000,credit_card,Fully Paid
4375,36 months,7.51,A,MORTGAGE,17108,debt_consolidation,Fully Paid
31825,36 months,7.9,A,MORTGAGE,75000,debt_consolidation,Fully Paid
10000,60 months,15.96,C,RENT,29120,debt_consolidation,Current
5000,36 months,8.9,A,RENT,24044,debt_consolidation,Fully Paid
7000,36 months,15.96,C,RENT,34000,credit_card,Fully Paid
12400,36 months,10.65,B,RENT,41000,credit_card,Fully Paid
10800,36 months,9.91,B,RENT,55596,moving,Fully Paid
15000,36 months,7.9,A,RENT,45000,debt_consolidation,Fully Paid
6000,36 months,12.42,B,RENT,36852,debt_consolidation,Fully Paid
12500,60 months,12.69,B,RENT,27000,debt_consolidation,Current
9600,36 months,7.51,A,RENT,68004,other,Fully Paid
12000,36 months,7.9,A,RENT,62300,debt_consolidation,Fully Paid
3000,36 months,18.25,D,MORTGAGE,65000,other,Fully Paid
4400,36 months,16.77,D,RENT,55000,debt_consolidation,Fully Paid
6000,36 months,6.03,A,MORTGAGE,45600,debt_consolidation,Fully Paid
14000,36 months,9.91,B,RENT,80000,small_business,Fully Paid
5000,36 months,8.9,A,MORTGAGE,1.00E+05,debt_consolidation,Charged Off
10000,36 months,10.65,B,RENT,27000,other,Fully Paid
10000,36 months,6.03,A,RENT,60000,credit_card,Fully Paid
11000,36 months,6.62,A,RENT,70000,debt_consolidation,Fully Paid
15000,36 months,9.91,B,MORTGAGE,80000,debt_consolidation,Charged Off
25600,36 months,9.91,B,RENT,110000,credit_card,Fully Paid
7000,36 months,10.65,B,RENT,40000,debt_consolidation,Fully Paid
12000,36 months,15.96,C,RENT,50000,car,Charged Off
12000,36 months,9.91,B,RENT,46000,credit_card,Fully Paid
21000,60 months,19.91,E,RENT,50000,debt_consolidation,Charged Off
16000,60 months,19.91,E,RENT,81000,credit_card,Fully Paid
10000,36 months,12.42,B,OWN,39000,debt_consolidation,Fully Paid
10000,36 months,10.65,B,RENT,51400,credit_card,Fully Paid
7100,36 months,16.77,D,MORTGAGE,33000,debt_consolidation,Fully Paid
13000,60 months,12.69,B,MORTGAGE,30000,debt_consolidation,Fully Paid
17500,60 months,17.27,D,RENT,40000,small_business,Fully Paid
17675,60 months,14.65,C,RENT,50000,debt_consolidation,Fully Paid
8000,36 months,16.77,D,RENT,62000,debt_consolidation,Fully Paid
10000,60 months,10.65,B,RENT,45996,debt_consolidation,Charged Off
3500,36 months,10.65,B,MORTGAGE,55000,debt_consolidation,Fully Paid
12500,60 months,17.27,D,RENT,30000,debt_consolidation,Charged Off
16425,36 months,14.27,C,RENT,44544,debt_consolidation,Fully Paid
8200,60 months,21.28,F,RENT,75000,small_business,Charged Off
15000,36 months,14.65,C,OWN,61000,credit_card,Fully Paid
20975,60 months,17.58,D,MORTGAGE,44000,credit_card,Fully Paid
6400,36 months,16.77,D,RENT,75000,debt_consolidation,Charged Off
3000,36 months,13.49,C,RENT,33600,debt_consolidation,Fully Paid
12000,36 months,16.77,D,RENT,50000,credit_card,Fully Paid
14400,36 months,8.9,A,OWN,150000,debt_consolidation,Fully Paid
12000,36 months,14.65,C,RENT,90000,debt_consolidation,Fully Paid
11000,36 months,13.49,C,MORTGAGE,48000,debt_consolidation,Fully Paid
7250,60 months,21.67,F,RENT,75000,debt_consolidation,Fully Paid
15000,36 months,7.9,A,MORTGAGE,52000,small_business,Fully Paid
18000,60 months,19.91,E,MORTGAGE,65000,debt_consolidation,Fully Paid
35000,60 months,17.27,D,MORTGAGE,150000,home_improvement,Fully Paid
10000,36 months,14.27,C,RENT,68000,credit_card,Fully Paid
11800,36 months,12.69,B,RENT,42000,credit_card,Fully Paid
4500,36 months,6.03,A,RENT,53000,major_purchase,Fully Paid
7000,36 months,12.69,B,RENT,35000,credit_card,Fully Paid
9200,36 months,12.42,B,RENT,60000,debt_consolidation,Fully Paid
14000,60 months,17.27,D,RENT,28000,other,Current
4500,60 months,10.65,B,MORTGAGE,42000,car,Fully Paid
12000,36 months,16.29,D,RENT,88365,debt_consolidation,Fully Paid
12000,36 months,13.49,C,RENT,72000,debt_consolidation,Fully Paid
12000,36 months,10.65,B,RENT,62000,credit_card,Fully Paid
7000,36 months,10.65,B,MORTGAGE,43680,credit_card,Fully Paid
8200,60 months,19.42,E,RENT,120000,debt_consolidation,Fully Paid
10500,36 months,12.69,B,RENT,66000,medical,Fully Paid
7000,36 months,11.71,B,OWN,39120,debt_consolidation,Fully Paid
15300,60 months,22.06,F,RENT,85000,credit_card,Current
20000,60 months,11.71,B,MORTGAGE,47800,debt_consolidation,Fully Paid
17500,60 months,17.27,D,MORTGAGE,45000,credit_card,Charged Off
3500,36 months,6.03,A,MORTGAGE,83000,car,Fully Paid
6000,60 months,12.69,B,RENT,81000,major_purchase,Current
6200,36 months,9.91,B,RENT,25000,debt_consolidation,Charged Off
16000,60 months,17.58,D,RENT,65000,debt_consolidation,Fully Paid
6000,36 months,8.9,A,OWN,28800,debt_consolidation,Fully Paid
7200,36 months,9.91,B,RENT,135000,credit_card,Fully Paid
9500,36 months,8.9,A,MORTGAGE,50000,credit_card,Fully Paid
18825,60 months,16.77,D,RENT,38000,debt_consolidation,Charged Off
24000,36 months,10.65,B,RENT,45000,debt_consolidation,Fully Paid
6000,36 months,13.49,C,RENT,80000,debt_consolidation,Fully Paid
6000,36 months,13.49,C,RENT,50000,debt_consolidation,Fully Paid
2100,36 months,12.42,B,MORTGAGE,30000,vacation,Fully Paid
5500,36 months,6.62,A,MORTGAGE,110000,small_business,Fully Paid
11000,36 months,6.62,A,OWN,45608,debt_consolidation,Fully Paid
26800,60 months,20.89,F,MORTGAGE,120000,debt_consolidation,Fully Paid
8000,36 months,12.69,B,MORTGAGE,35000,debt_consolidation,Fully Paid
10000,36 months,18.25,D,RENT,75000,credit_card,Charged Off
8000,36 months,11.71,B,MORTGAGE,35000,credit_card,Fully Paid
10000,36 months,8.9,A,RENT,24000,debt_consolidation,Fully Paid
12000,36 months,11.71,B,MORTGAGE,126000,debt_consolidation,Fully Paid
10000,36 months,7.9,A,RENT,43000,debt_consolidation,Fully Paid
12000,36 months,9.91,B,RENT,50000,debt_consolidation,Fully Paid
25000,60 months,13.49,C,MORTGAGE,67000,credit_card,Charged Off
19750,36 months,10.65,B,RENT,45000,debt_consolidation,Charged Off
10000,36 months,9.91,B,RENT,31200,debt_consolidation,Fully Paid
13650,36 months,12.42,B,RENT,66000,debt_consolidation,Fully Paid
28000,60 months,19.91,E,RENT,52000,debt_consolidation,Charged Off
18000,36 months,7.9,A,RENT,56964,debt_consolidation,Fully Paid
2500,36 months,14.27,C,RENT,49500,debt_consolidation,Fully Paid
21000,60 months,20.3,E,RENT,70000,credit_card,Fully Paid
35000,36 months,8.9,A,MORTGAGE,125000,debt_consolidation,Fully Paid
10000,36 months,7.51,A,RENT,33000,credit_card,Fully Paid
7000,36 months,12.69,B,RENT,30000,credit_card,Fully Paid
24000,36 months,15.96,C,MORTGAGE,90000,home_improvement,Charged Off
10625,36 months,7.51,A,MORTGAGE,23000,medical,Fully Paid
5000,36 months,14.65,C,RENT,24000,debt_consolidation,Fully Paid
8850,36 months,6.62,A,RENT,62000,credit_card,Fully Paid
6375,36 months,7.51,A,RENT,44000,debt_consolidation,Fully Paid
6000,36 months,11.71,B,RENT,90000,credit_card,Fully Paid
11100,36 months,6.62,A,RENT,41000,credit_card,Charged Off
10000,60 months,12.69,B,MORTGAGE,56000,debt_consolidation,Fully Paid
6200,36 months,6.03,A,MORTGAGE,26500,small_business,Fully Paid
15000,36 months,18.64,E,RENT,54000,debt_consolidation,Fully Paid
4200,36 months,11.71,B,RENT,53000,other,Fully Paid
14000,36 months,14.27,C,RENT,52800,debt_consolidation,Fully Paid
8875,36 months,7.51,A,MORTGAGE,38000,debt_consolidation,Fully Paid
13500,36 months,9.91,B,RENT,38000,debt_consolidation,Fully Paid
12000,36 months,9.91,B,RENT,42000,debt_consolidation,Charged Off
16000,60 months,19.91,E,RENT,55000,debt_consolidation,Fully Paid
21600,60 months,19.42,E,MORTGAGE,60000,debt_consolidation,Fully Paid
6000,36 months,10.65,B,MORTGAGE,87000,home_improvement,Fully Paid
8450,60 months,16.77,D,OWN,25000,debt_consolidation,Fully Paid
20000,60 months,13.49,C,RENT,82000,credit_card,Fully Paid
10000,36 months,11.71,B,RENT,60000,debt_consolidation,Charged Off
12000,36 months,16.29,D,MORTGAGE,80000,credit_card,Fully Paid
13475,60 months,13.49,C,RENT,25000,credit_card,Charged Off
7200,36 months,12.42,B,RENT,48000,major_purchase,Fully Paid
5600,36 months,14.65,C,MORTGAGE,85000,debt_consolidation,Charged Off
12000,36 months,14.27,C,RENT,57000,debt_consolidation,Fully Paid
8500,36 months,6.03,A,RENT,25000,credit_card,Fully Paid
8000,36 months,9.91,B,RENT,34000,credit_card,Fully Paid
8000,36 months,12.42,B,RENT,40000,credit_card,Fully Paid
16000,60 months,15.27,C,RENT,42656.4,debt_consolidation,Fully Paid
15000,36 months,17.27,D,MORTGAGE,44400,house,Fully Paid
10000,36 months,9.91,B,OWN,30000,debt_consolidation,Fully Paid
10000,36 months,6.62,A,MORTGAGE,70000,credit_card,Fully Paid
8000,36 months,14.65,C,RENT,28000,car,Fully Paid
22000,36 months,9.91,B,MORTGAGE,50000,debt_consolidation,Fully Paid
6000,36 months,14.27,C,MORTGAGE,94800,car,Fully Paid
16000,60 months,9.91,B,OWN,40000,debt_consolidation,Fully Paid
2500,36 months,7.51,A,OWN,12000,debt_consolidation,Charged Off
13500,36 months,9.91,B,MORTGAGE,36000,credit_card,Fully Paid
25000,36 months,12.42,B,RENT,225000,debt_consolidation,Fully Paid
10000,36 months,13.49,C,RENT,45900,small_business,Fully Paid
2500,36 months,13.49,C,RENT,27200,debt_consolidation,Fully Paid
7325,36 months,12.69,B,RENT,42000,debt_consolidation,Fully Paid
4000,36 months,12.42,B,RENT,135000,credit_card,Fully Paid
10000,36 months,13.49,C,RENT,65000,small_business,Charged Off
7750,36 months,17.27,D,RENT,24000,debt_consolidation,Charged Off
