TUScore,employed,age,accepted
433,TRUE,28,TRUE
93,TRUE,52,FALSE
368,FALSE,63,FALSE
665,TRUE,42,TRUE
687,TRUE,38,TRUE
594,TRUE,27,FALSE
83,FALSE,24,FALSE
172,TRUE,19,FALSE
27,FALSE,45,FALSE
232,FALSE,34,FALSE
128,FALSE,27,FALSE
180,FALSE,41,FALSE
110,FALSE,47,FALSE
405,FALSE,61,FALSE
233,TRUE,46,FALSE
662,TRUE,46,TRUE
35,FALSE,50,FALSE
138,FALSE,32,FALSE
707,TRUE,42,TRUE
554,TRUE,52,FALSE
524,TRUE,19,FALSE
190,TRUE,20,FALSE
319,FALSE,41,TRUE
649,TRUE,58,TRUE
33,FALSE,46,FALSE
57,FALSE,22,FALSE
378,FALSE,51,FALSE
13,FALSE,27,FALSE
347,FALSE,50,FALSE
33,FALSE,55,FALSE
432,FALSE,61,FALSE
501,TRUE,38,FALSE
297,FALSE,38,FALSE
443,TRUE,37,TRUE
697,TRUE,54,TRUE
460,TRUE,55,FALSE
15,TRUE,46,FALSE
66,TRUE,35,FALSE
708,TRUE,57,TRUE
514,TRUE,51,FALSE
259,FALSE,49,FALSE
653,FALSE,45,FALSE
233,FALSE,43,FALSE
140,FALSE,37,FALSE
30,FALSE,62,FALSE
643,TRUE,43,TRUE
649,TRUE,33,TRUE
5,FALSE,34,FALSE
618,TRUE,33,TRUE
702,FALSE,80,FALSE
194,FALSE,49,FALSE
251,FALSE,74,FALSE
697,TRUE,30,TRUE
246,FALSE,65,FALSE
167,FALSE,44,FALSE
672,TRUE,19,FALSE
332,FALSE,30,FALSE
280,TRUE,50,FALSE
240,FALSE,38,FALSE
439,TRUE,33,TRUE
307,FALSE,39,FALSE
102,TRUE,57,FALSE
692,TRUE,56,TRUE
90,TRUE,58,FALSE
242,FALSE,47,FALSE
366,FALSE,28,FALSE
227,FALSE,53,FALSE
240,FALSE,30,FALSE
700,TRUE,39,TRUE
96,FALSE,61,FALSE
91,FALSE,42,FALSE
379,TRUE,56,TRUE
555,TRUE,23,FALSE
303,TRUE,59,FALSE
640,TRUE,48,TRUE
229,FALSE,36,FALSE
155,TRUE,22,FALSE
705,TRUE,56,TRUE
52,TRUE,40,FALSE
3,FALSE,38,FALSE
162,TRUE,28,FALSE
392,FALSE,59,FALSE
120,FALSE,34,FALSE
274,FALSE,44,FALSE
298,TRUE,27,FALSE
247,FALSE,57,FALSE
28,FALSE,44,FALSE
227,FALSE,57,FALSE
189,FALSE,38,FALSE
546,TRUE,48,TRUE
17,FALSE,36,FALSE
697,TRUE,29,TRUE
524,FALSE,65,FALSE
0,FALSE,72,FALSE
97,FALSE,31,FALSE
625,TRUE,34,TRUE
58,FALSE,65,FALSE
456,FALSE,45,FALSE
623,TRUE,56,TRUE
193,TRUE,64,FALSE
607,TRUE,66,TRUE
448,FALSE,43,FALSE
28,TRUE,62,FALSE
620,FALSE,67,FALSE
206,FALSE,43,FALSE
381,FALSE,61,TRUE
359,FALSE,23,FALSE
185,FALSE,59,FALSE
381,FALSE,69,TRUE
671,TRUE,28,TRUE
247,FALSE,39,FALSE
574,TRUE,44,FALSE
127,FALSE,83,FALSE
329,TRUE,22,FALSE
264,FALSE,47,TRUE
168,TRUE,55,FALSE
654,TRUE,60,TRUE
204,FALSE,38,FALSE
594,TRUE,47,FALSE
91,FALSE,66,FALSE
377,FALSE,56,TRUE
282,FALSE,39,FALSE
162,FALSE,57,FALSE
179,FALSE,48,FALSE
480,FALSE,42,FALSE
601,TRUE,51,TRUE
374,FALSE,43,FALSE
488,TRUE,50,TRUE
372,FALSE,52,TRUE
470,FALSE,56,TRUE
231,FALSE,30,FALSE
52,FALSE,38,FALSE
308,TRUE,40,FALSE
250,FALSE,80,FALSE
472,FALSE,23,FALSE
651,FALSE,70,FALSE
555,TRUE,41,FALSE
384,TRUE,23,TRUE
213,FALSE,25,FALSE
228,FALSE,57,FALSE
688,TRUE,58,TRUE
625,TRUE,51,TRUE
147,FALSE,48,FALSE
328,TRUE,56,FALSE
557,TRUE,50,FALSE
180,TRUE,56,FALSE
619,TRUE,52,TRUE
80,FALSE,43,FALSE
443,TRUE,70,FALSE
37,FALSE,32,FALSE
139,FALSE,58,FALSE
248,TRUE,45,FALSE
174,FALSE,59,FALSE
462,FALSE,35,FALSE
646,TRUE,33,TRUE
660,TRUE,62,TRUE
61,FALSE,67,FALSE
685,TRUE,56,TRUE
9,FALSE,47,FALSE
287,FALSE,51,FALSE
95,TRUE,55,FALSE
515,TRUE,35,TRUE
691,TRUE,59,TRUE
24,FALSE,46,FALSE
99,FALSE,30,FALSE
77,FALSE,41,FALSE
285,TRUE,39,FALSE
380,FALSE,47,FALSE
674,TRUE,43,TRUE
591,TRUE,27,TRUE
129,FALSE,29,FALSE
170,FALSE,40,FALSE
707,TRUE,64,TRUE
33,TRUE,59,FALSE
525,TRUE,38,FALSE
296,FALSE,26,FALSE
362,TRUE,51,FALSE
427,FALSE,50,FALSE
290,FALSE,37,FALSE
21,FALSE,45,FALSE
396,FALSE,51,FALSE
699,TRUE,39,TRUE
375,FALSE,24,FALSE
84,FALSE,44,FALSE
92,FALSE,31,FALSE
624,FALSE,65,FALSE
540,TRUE,40,FALSE
140,FALSE,34,FALSE
96,TRUE,28,FALSE
471,FALSE,47,FALSE
691,TRUE,37,TRUE
645,TRUE,41,TRUE
613,TRUE,63,TRUE
710,TRUE,42,TRUE
647,FALSE,37,FALSE
601,TRUE,18,FALSE
32,FALSE,47,FALSE
345,FALSE,38,FALSE
410,FALSE,55,TRUE
304,TRUE,47,TRUE
59,TRUE,20,FALSE
108,FALSE,75,FALSE
244,TRUE,38,FALSE
496,FALSE,53,TRUE
131,FALSE,47,FALSE
351,FALSE,78,FALSE
132,FALSE,53,FALSE
30,FALSE,49,FALSE
666,TRUE,52,TRUE
187,TRUE,38,FALSE
371,FALSE,70,FALSE
308,FALSE,50,FALSE
92,FALSE,58,FALSE
490,FALSE,53,FALSE
98,FALSE,70,FALSE
690,TRUE,56,TRUE
693,TRUE,44,TRUE
74,FALSE,51,FALSE
557,FALSE,68,FALSE
599,TRUE,36,TRUE
479,FALSE,57,FALSE
549,TRUE,56,FALSE
707,TRUE,19,FALSE
549,TRUE,57,TRUE
427,FALSE,60,FALSE
91,FALSE,67,FALSE
151,TRUE,34,FALSE
326,TRUE,29,TRUE
137,TRUE,64,FALSE
452,FALSE,52,FALSE
